holeCards,commCards,Key,Value
"['D4', 'C4']","['C3', 'C2', 'C6']",1100_44_4100_64432,0.659
"['D4', 'C4']","['C3', 'C2', 'C5']",1100_44_4100_54432,0.659
"['D4', 'C4']","['C3', 'C2', 'CA']",1100_44_4100_A4432,0.592
"['D4', 'C4']","['C3', 'C2', 'DA']",1100_44_3200_A4432,0.645
"['D4', 'C4']","['C3', 'C2', 'D6']",1100_44_3200_64432,0.666
"['D4', 'C4']","['C3', 'C2', 'D7']",1100_44_3200_74432,0.618
"['D4', 'C4']","['C3', 'C2', 'D5']",1100_44_3200_54432,0.639
"['D4', 'C4']","['C3', 'C2', 'D2']",1100_44_3200_44322,0.67
"['D4', 'C4']","['C3', 'C2', 'D3']",1100_44_3200_44332,0.686
"['D4', 'C4']","['C3', 'C7', 'C6']",1100_44_4100_76443,0.624
"['D4', 'C4']","['C3', 'C7', 'C5']",1100_44_4100_75443,0.624
"['D4', 'C4']","['C3', 'C7', 'CA']",1100_44_4100_A7443,0.583
"['D4', 'C4']","['C3', 'C7', 'DA']",1100_44_3200_A7443,0.555
"['D4', 'C4']","['C3', 'C7', 'D6']",1100_44_3200_76443,0.587
"['D4', 'C4']","['C3', 'C7', 'D7']",1100_44_3200_77443,0.659
"['D4', 'C4']","['C3', 'C7', 'D5']",1100_44_3200_75443,0.591
"['D4', 'C4']","['C3', 'C7', 'D3']",1100_44_3200_74433,0.602
"['D4', 'C4']","['C3', 'C6', 'C5']",1100_44_4100_65443,0.66
"['D4', 'C4']","['C3', 'C6', 'CA']",1100_44_4100_A6443,0.58
"['D4', 'C4']","['C3', 'C6', 'DA']",1100_44_3200_A6443,0.589
"['D4', 'C4']","['C3', 'C6', 'D6']",1100_44_3200_66443,0.625
"['D4', 'C4']","['C3', 'C6', 'D5']",1100_44_3200_65443,0.627
"['D4', 'C4']","['C3', 'C6', 'D3']",1100_44_3200_64433,0.605
"['D4', 'C4']","['C3', 'C5', 'CA']",1100_44_4100_A5443,0.6
"['D4', 'C4']","['C3', 'C5', 'DA']",1100_44_3200_A5443,0.587
"['D4', 'C4']","['C3', 'C5', 'D5']",1100_44_3200_55443,0.657
"['D4', 'C4']","['C3', 'C5', 'D3']",1100_44_3200_54433,0.602
"['D4', 'C4']","['C3', 'CA', 'DA']",1100_44_3200_AA443,0.63
"['D4', 'C4']","['C3', 'CA', 'D3']",1100_44_3200_A4433,0.615
"['D4', 'C4']","['C2', 'C7', 'C6']",1100_44_4100_76442,0.587
"['D4', 'C4']","['C2', 'C7', 'C5']",1100_44_4100_75442,0.6
"['D4', 'C4']","['C2', 'C7', 'CA']",1100_44_4100_A7442,0.584
"['D4', 'C4']","['C2', 'C7', 'DA']",1100_44_3200_A7442,0.588
"['D4', 'C4']","['C2', 'C7', 'D6']",1100_44_3200_76442,0.59
"['D4', 'C4']","['C2', 'C7', 'D7']",1100_44_3200_77442,0.644
"['D4', 'C4']","['C2', 'C7', 'D5']",1100_44_3200_75442,0.556
"['D4', 'C4']","['C2', 'C7', 'D2']",1100_44_3200_74422,0.61
"['D4', 'C4']","['C2', 'C6', 'C5']",1100_44_4100_65442,0.628
"['D4', 'C4']","['C2', 'C6', 'CA']",1100_44_4100_A6442,0.607
"['D4', 'C4']","['C2', 'C6', 'DA']",1100_44_3200_A6442,0.535
"['D4', 'C4']","['C2', 'C6', 'D6']",1100_44_3200_66442,0.648
"['D4', 'C4']","['C2', 'C6', 'D5']",1100_44_3200_65442,0.608
"['D4', 'C4']","['C2', 'C6', 'D2']",1100_44_3200_64422,0.611
"['D4', 'C4']","['C2', 'C5', 'CA']",1100_44_4100_A5442,0.576
"['D4', 'C4']","['C2', 'C5', 'DA']",1100_44_3200_A5442,0.587
"['D4', 'C4']","['C2', 'C5', 'D5']",1100_44_3200_55442,0.658
"['D4', 'C4']","['C2', 'C5', 'D2']",1100_44_3200_54422,0.569
"['D4', 'C4']","['C2', 'CA', 'DA']",1100_44_3200_AA442,0.64
"['D4', 'C4']","['C2', 'CA', 'D2']",1100_44_3200_A4422,0.577
"['D4', 'C4']","['C7', 'C6', 'C5']",1100_44_4100_76544,0.604
"['D4', 'C4']","['C7', 'C6', 'CA']",1100_44_4100_A7644,0.531
"['D4', 'C4']","['C7', 'C6', 'DA']",1100_44_3200_A7644,0.509
"['D4', 'C4']","['C7', 'C6', 'D6']",1100_44_3200_76644,0.507
"['D4', 'C4']","['C7', 'C6', 'D7']",1100_44_3200_77644,0.511
"['D4', 'C4']","['C7', 'C6', 'D5']",1100_44_3200_76544,0.541
"['D4', 'C4']","['C7', 'C5', 'CA']",1100_44_4100_A7544,0.549
"['D4', 'C4']","['C7', 'C5', 'DA']",1100_44_3200_A7544,0.522
"['D4', 'C4']","['C7', 'C5', 'D7']",1100_44_3200_77544,0.472
"['D4', 'C4']","['C7', 'C5', 'D5']",1100_44_3200_75544,0.506
"['D4', 'C4']","['C7', 'CA', 'DA']",1100_44_3200_AA744,0.504
"['D4', 'C4']","['C7', 'CA', 'D7']",1100_44_3200_A7744,0.516
"['D4', 'C4']","['C6', 'C5', 'CA']",1100_44_4100_A6544,0.531
"['D4', 'C4']","['C6', 'C5', 'DA']",1100_44_3200_A6544,0.507
"['D4', 'C4']","['C6', 'C5', 'D6']",1100_44_3200_66544,0.51
"['D4', 'C4']","['C6', 'C5', 'D5']",1100_44_3200_65544,0.505
"['D4', 'C4']","['C6', 'CA', 'DA']",1100_44_3200_AA644,0.514
"['D4', 'C4']","['C6', 'CA', 'D6']",1100_44_3200_A6644,0.494
"['D4', 'C4']","['C5', 'CA', 'DA']",1100_44_3200_AA544,0.509
"['D4', 'C4']","['C5', 'CA', 'D5']",1100_44_3200_A5544,0.506
"['D4', 'D5']","['S9', 'S8', 'DJ']",2000_54_3200_J9854,0.174
"['D4', 'D5']","['S9', 'S8', 'DK']",2000_54_3200_K9854,0.21
"['D4', 'D5']","['S9', 'S8', 'S3']",2000_54_3200_98543,0.139
"['D4', 'D5']","['S9', 'S8', 'S2']",2000_54_3200_98542,0.123
"['D4', 'D5']","['S9', 'S8', 'HQ']",2000_54_2210_Q9854,0.161
