holeCards,commCards,Key,Value
"['D2', 'D7']","['DJ', 'S6', 'S5']",2000_72_3200_J7652,0.232
"['D2', 'D7']","['DJ', 'S6', 'S4']",2000_72_3200_J7642,0.218
"['D2', 'D7']","['DJ', 'S6', 'HJ']",2000_72_3110_JJ762,0.224
"['D2', 'D7']","['DJ', 'S6', 'HK']",2000_72_3110_KJ762,0.214
"['D2', 'D7']","['DJ', 'S6', 'DT']",2000_72_4100_JT762,0.487
"['D2', 'D7']","['DJ', 'S6', 'HA']",2000_72_3110_AJ762,0.242
"['D2', 'D7']","['DJ', 'S6', 'H5']",2000_72_3110_J7652,0.232
"['D2', 'D7']","['DJ', 'S6', 'C6']",2000_72_3110_J7662,0.237
"['D2', 'D7']","['DJ', 'S6', 'C4']",2000_72_3110_J7642,0.235
"['D2', 'D7']","['DJ', 'S6', 'HT']",2000_72_3110_JT762,0.21
"['D2', 'D7']","['DJ', 'S6', 'DA']",2000_72_4100_AJ762,0.456
"['D2', 'D7']","['DJ', 'S6', 'D4']",2000_72_4100_J7642,0.45
"['D2', 'D7']","['DJ', 'S6', 'ST']",2000_72_3200_JT762,0.207
"['D2', 'D7']","['DJ', 'S6', 'SK']",2000_72_3200_KJ762,0.201
"['D2', 'D7']","['DJ', 'S6', 'SJ']",2000_72_3200_JJ762,0.255
"['D2', 'D7']","['DJ', 'S6', 'D6']",2000_72_4100_J7662,0.474
"['D2', 'D7']","['DJ', 'S6', 'SA']",2000_72_3200_AJ762,0.223
"['D2', 'D7']","['DJ', 'S6', 'D5']",2000_72_4100_J7652,0.47
"['D2', 'D7']","['DJ', 'S5', 'S4']",2000_72_3200_J7542,0.195
"['D2', 'D7']","['DJ', 'S5', 'HJ']",2000_72_3110_JJ752,0.259
"['D2', 'D7']","['DJ', 'S5', 'HK']",2000_72_3110_KJ752,0.22
"['D2', 'D7']","['DJ', 'S5', 'DT']",2000_72_4100_JT752,0.488
"['D2', 'D7']","['DJ', 'S5', 'HA']",2000_72_3110_AJ752,0.207
"['D2', 'D7']","['DJ', 'S5', 'H5']",2000_72_3110_J7552,0.218
"['D2', 'D7']","['DJ', 'S5', 'C4']",2000_72_3110_J7542,0.227
"['D2', 'D7']","['DJ', 'S5', 'HT']",2000_72_3110_JT752,0.226
"['D2', 'D7']","['DJ', 'S5', 'DA']",2000_72_4100_AJ752,0.454
"['D2', 'D7']","['DJ', 'S5', 'D4']",2000_72_4100_J7542,0.498
"['D2', 'D7']","['DJ', 'S5', 'ST']",2000_72_3200_JT752,0.214
"['D2', 'D7']","['DJ', 'S5', 'SK']",2000_72_3200_KJ752,0.228
"['D2', 'D7']","['DJ', 'S5', 'SJ']",2000_72_3200_JJ752,0.227
"['D2', 'D7']","['DJ', 'S5', 'SA']",2000_72_3200_AJ752,0.216
"['D2', 'D7']","['DJ', 'S5', 'D5']",2000_72_4100_J7552,0.457
"['D2', 'D7']","['DJ', 'S4', 'HJ']",2000_72_3110_JJ742,0.248
"['D2', 'D7']","['DJ', 'S4', 'HK']",2000_72_3110_KJ742,0.226
"['D2', 'D7']","['DJ', 'S4', 'DT']",2000_72_4100_JT742,0.483
"['D2', 'D7']","['DJ', 'S4', 'HA']",2000_72_3110_AJ742,0.219
