holeCards,commCards,Key,Value
"['D3', 'C8']","['C7', 'C5', 'D4']",1100_83_3200_87543,0.292
"['D3', 'C8']","['C7', 'C5', 'D8']",1100_83_3200_88753,0.63
"['D3', 'C8']","['C7', 'C5', 'D7']",1100_83_3200_87753,0.243
"['D3', 'C8']","['C7', 'C5', 'D5']",1100_83_3200_87553,0.241
"['D3', 'C8']","['C7', 'C4', 'CA']",1100_83_4100_A8743,0.396
"['D3', 'C8']","['C7', 'C4', 'DA']",1100_83_3200_A8743,0.227
"['D3', 'C8']","['C7', 'C4', 'D4']",1100_83_3200_87443,0.241
"['D3', 'C8']","['C7', 'C4', 'D8']",1100_83_3200_88743,0.654
"['D3', 'C8']","['C7', 'C4', 'D7']",1100_83_3200_87743,0.221
"['D3', 'C8']","['C7', 'CA', 'DA']",1100_83_3200_AA873,0.256
"['D3', 'C8']","['C7', 'CA', 'D8']",1100_83_3200_A8873,0.654
"['D3', 'C8']","['C7', 'CA', 'D7']",1100_83_3200_A8773,0.268
"['D3', 'C8']","['C7', 'D8', 'D7']",1100_83_3200_88773,0.658
"['D3', 'C8']","['C6', 'C5', 'C4']",1100_83_4100_86543,0.454
"['D3', 'C8']","['C6', 'C5', 'CA']",1100_83_4100_A8653,0.41
"['D3', 'C8']","['C6', 'C5', 'DA']",1100_83_3200_A8653,0.248
"['D3', 'C8']","['C6', 'C5', 'D4']",1100_83_3200_86543,0.378
"['D3', 'C8']","['C6', 'C5', 'D8']",1100_83_3200_88653,0.649
"['D3', 'C8']","['C6', 'C5', 'D6']",1100_83_3200_86653,0.258
"['D3', 'C8']","['C6', 'C5', 'D5']",1100_83_3200_86553,0.27
"['D3', 'C8']","['C6', 'C4', 'CA']",1100_83_4100_A8643,0.396
"['D3', 'C8']","['C6', 'C4', 'DA']",1100_83_3200_A8643,0.235
"['D3', 'C8']","['C6', 'C4', 'D4']",1100_83_3200_86443,0.26
"['D3', 'C8']","['C6', 'C4', 'D8']",1100_83_3200_88643,0.7
"['D3', 'C8']","['C6', 'C4', 'D6']",1100_83_3200_86643,0.231
"['D3', 'C8']","['C6', 'CA', 'DA']",1100_83_3200_AA863,0.286
"['D3', 'C8']","['C6', 'CA', 'D8']",1100_83_3200_A8863,0.674
"['D3', 'C8']","['C6', 'CA', 'D6']",1100_83_3200_A8663,0.276
"['D3', 'C8']","['C6', 'D8', 'D6']",1100_83_3200_88663,0.693
"['D3', 'C8']","['C5', 'C4', 'CA']",1100_83_4100_A8543,0.37
"['D3', 'C8']","['C5', 'C4', 'DA']",1100_83_3200_A8543,0.227
"['D3', 'C8']","['C5', 'C4', 'D4']",1100_83_3200_85443,0.238
"['D3', 'C8']","['C5', 'C4', 'D8']",1100_83_3200_88543,0.703
"['D3', 'C8']","['C5', 'C4', 'D5']",1100_83_3200_85543,0.209
"['D3', 'C8']","['C5', 'CA', 'DA']",1100_83_3200_AA853,0.246
"['D3', 'C8']","['C5', 'CA', 'D8']",1100_83_3200_A8853,0.678
"['D3', 'C8']","['C5', 'CA', 'D5']",1100_83_3200_A8553,0.255
"['D3', 'C8']","['C5', 'D8', 'D5']",1100_83_3200_88553,0.697
"['D3', 'C8']","['C4', 'CA', 'DA']",1100_83_3200_AA843,0.28
"['D3', 'C8']","['C4', 'CA', 'D4']",1100_83_3200_A8443,0.282
"['D3', 'C8']","['C4', 'CA', 'D8']",1100_83_3200_A8843,0.69
"['D3', 'C8']","['C4', 'D4', 'D8']",1100_83_3200_88443,0.715
"['D3', 'C8']","['CA', 'DA', 'D8']",1100_83_3200_AA883,0.707
"['D3', 'C8']","['DA', 'D4', 'D8']",1100_83_4100_A8843,0.666
"['D3', 'C8']","['DA', 'D8', 'D9']",1100_83_4100_A9883,0.66
"['D3', 'C8']","['DA', 'D8', 'D6']",1100_83_4100_A8863,0.698
"['D3', 'C8']","['DA', 'D8', 'D7']",1100_83_4100_A8873,0.663
"['D3', 'C8']","['DA', 'D8', 'D5']",1100_83_4100_A8853,0.684
"['D3', 'C8']","['DA', 'D8', 'D2']",1100_83_4100_A8832,0.695
"['D3', 'C8']","['D4', 'D8', 'D9']",1100_83_4100_98843,0.648
