holeCards,commCards,Key,Value
"['D2', 'C2']",[],1100_22,0.4987
"['D2', 'D3']",[],2000_32,0.3229
"['D2', 'C3']",[],1100_32,0.2858
"['D2', 'D4']",[],2000_42,0.3368
"['D2', 'C4']",[],1100_42,0.2951
"['D2', 'D5']",[],2000_52,0.3571
"['D2', 'C5']",[],1100_52,0.3171
"['D2', 'D6']",[],2000_62,0.371
"['D2', 'C6']",[],1100_62,0.33
"['D2', 'D7']",[],2000_72,0.3707
"['D2', 'C7']",[],1100_72,0.3404
"['D2', 'D8']",[],2000_82,0.3873
"['D2', 'C8']",[],1100_82,0.3645
"['D2', 'D9']",[],2000_92,0.4221
"['D2', 'C9']",[],1100_92,0.3811
"['D2', 'DT']",[],2000_T2,0.4379
"['D2', 'CT']",[],1100_T2,0.4044
"['D2', 'DJ']",[],2000_J2,0.4591
"['D2', 'CJ']",[],1100_J2,0.437
"['D2', 'DQ']",[],2000_Q2,0.4905
"['D2', 'CQ']",[],1100_Q2,0.4593
"['D2', 'DK']",[],2000_K2,0.5254
"['D2', 'CK']",[],1100_K2,0.4997
"['D2', 'DA']",[],2000_A2,0.5604
"['D2', 'CA']",[],1100_A2,0.5335
"['D3', 'C3']",[],1100_33,0.5245
"['D3', 'D4']",[],2000_43,0.3625
"['D3', 'C4']",[],1100_43,0.3259
"['D3', 'D5']",[],2000_53,0.3657
"['D3', 'C5']",[],1100_53,0.3385
"['D3', 'D6']",[],2000_63,0.3993
"['D3', 'C6']",[],1100_63,0.3594
"['D3', 'D7']",[],2000_73,0.3848
"['D3', 'C7']",[],1100_73,0.3701
"['D3', 'D8']",[],2000_83,0.3947
"['D3', 'C8']",[],1100_83,0.3612
"['D3', 'D9']",[],2000_93,0.4296
"['D3', 'C9']",[],1100_93,0.3917
"['D3', 'DT']",[],2000_T3,0.451
"['D3', 'CT']",[],1100_T3,0.4373
"['D3', 'DJ']",[],2000_J3,0.4798
"['D3', 'CJ']",[],1100_J3,0.4476
"['D3', 'DQ']",[],2000_Q3,0.5096
"['D3', 'CQ']",[],1100_Q3,0.4774
"['D3', 'DK']",[],2000_K3,0.5444
"['D3', 'CK']",[],1100_K3,0.5135
"['D3', 'DA']",[],2000_A3,0.5751
"['D3', 'CA']",[],1100_A3,0.5487
"['D4', 'C4']",[],1100_44,0.5638
"['D4', 'D5']",[],2000_54,0.3976
"['D4', 'C5']",[],1100_54,0.3572
"['D4', 'D6']",[],2000_64,0.4205
"['D4', 'C6']",[],1100_64,0.3846
"['D4', 'D7']",[],2000_74,0.4197
"['D4', 'C7']",[],1100_74,0.3856
"['D4', 'D8']",[],2000_84,0.4306
"['D4', 'C8']",[],1100_84,0.4022
"['D4', 'D9']",[],2000_94,0.4402
"['D4', 'C9']",[],1100_94,0.4113
"['D4', 'DT']",[],2000_T4,0.4709
"['D4', 'CT']",[],1100_T4,0.434
"['D4', 'DJ']",[],2000_J4,0.489
"['D4', 'CJ']",[],1100_J4,0.4711
"['D4', 'DQ']",[],2000_Q4,0.5285
