holeCards,commCards,Key,Value
"['D4', 'D6']","['S3', 'S5', 'C4']",2000_64_2210_65443,0.636
"['D4', 'D6']","['S3', 'S5', 'HT']",2000_64_2210_T6543,0.439
"['D4', 'D6']","['S3', 'S5', 'DA']",2000_64_3200_A6543,0.454
"['D4', 'D6']","['S3', 'S5', 'D5']",2000_64_3200_65543,0.437
"['D4', 'D6']","['S3', 'S5', 'D3']",2000_64_3200_65433,0.429
"['D4', 'D6']","['S3', 'S4', 'HJ']",2000_64_2210_J6443,0.65
"['D4', 'D6']","['S3', 'S4', 'HK']",2000_64_2210_K6443,0.618
"['D4', 'D6']","['S3', 'S4', 'DT']",2000_64_3200_T6443,0.633
"['D4', 'D6']","['S3', 'S4', 'HA']",2000_64_2210_A6443,0.613
"['D4', 'D6']","['S3', 'S4', 'DQ']",2000_64_3200_Q6443,0.67
"['D4', 'D6']","['S3', 'S4', 'C3']",2000_64_2210_64433,0.63
"['D4', 'D6']","['S3', 'S4', 'C4']",2000_64_2210_64443,0.911
"['D4', 'D6']","['S3', 'S4', 'HT']",2000_64_2210_T6443,0.63
"['D4', 'D6']","['S3', 'S4', 'DA']",2000_64_3200_A6443,0.661
"['D4', 'D6']","['S3', 'S4', 'D3']",2000_64_3200_64433,0.686
"['D4', 'D6']","['S3', 'HJ', 'HK']",2000_64_2210_KJ643,0.198
"['D4', 'D6']","['S3', 'HJ', 'HA']",2000_64_2210_AJ643,0.185
"['D4', 'D6']","['S3', 'HJ', 'C3']",2000_64_2111_J6433,0.208
"['D4', 'D6']","['S3', 'HJ', 'C2']",2000_64_2111_J6432,0.317
"['D4', 'D6']","['S3', 'HJ', 'C7']",2000_64_2111_J7643,0.327
"['D4', 'D6']","['S3', 'HJ', 'C6']",2000_64_2111_J6643,0.66
"['D4', 'D6']","['S3', 'HJ', 'C5']",2000_64_2111_J6543,0.453
"['D4', 'D6']","['S3', 'HJ', 'C4']",2000_64_2111_J6443,0.659
