holeCards,commCards,Key,Value
"['D2', 'C3']","['S6', 'S4', 'H6']",1100_32_2111_66432,0.237
"['D2', 'C3']","['S6', 'S4', 'H4']",1100_32_2111_64432,0.264
"['D2', 'C3']","['S6', 'S4', 'ST']",1100_32_3110_T6432,0.186
"['D2', 'C3']","['S6', 'S4', 'SA']",1100_32_3110_A6432,0.205
"['D2', 'C3']","['S6', 'DT', 'HA']",1100_32_2111_AT632,0.128
"['D2', 'C3']","['S6', 'DT', 'C6']",1100_32_2210_T6632,0.139
"['D2', 'C3']","['S6', 'DT', 'CA']",1100_32_2210_AT632,0.131
"['D2', 'C3']","['S6', 'DT', 'HT']",1100_32_2111_TT632,0.148
"['D2', 'C3']","['S6', 'DT', 'DA']",1100_32_3110_AT632,0.156
"['D2', 'C3']","['S6', 'DT', 'CT']",1100_32_2210_TT632,0.138
"['D2', 'C3']","['S6', 'DT', 'H6']",1100_32_2111_T6632,0.149
"['D2', 'C3']","['S6', 'DT', 'D6']",1100_32_3110_T6632,0.163
"['D2', 'C3']","['S6', 'HA', 'C6']",1100_32_2111_A6632,0.139
"['D2', 'C3']","['S6', 'HA', 'CA']",1100_32_2111_AA632,0.138
"['D2', 'C3']","['S6', 'DQ', 'D6']",1100_32_3110_Q6632,0.158
"['D2', 'C3']","['S6', 'C9', 'C6']",1100_32_3110_96632,0.18
"['D2', 'C3']","['S6', 'C8', 'C6']",1100_32_3110_86632,0.138
"['D2', 'C3']","['S6', 'C2', 'C6']",1100_32_3110_66322,0.554
"['D2', 'C3']","['S6', 'C7', 'C6']",1100_32_3110_76632,0.154
"['D2', 'C3']","['S6', 'C6', 'C5']",1100_32_3110_66532,0.247
"['D2', 'C3']","['S6', 'C6', 'C4']",1100_32_3110_66432,0.263
"['D2', 'C3']","['S6', 'C6', 'CA']",1100_32_3110_A6632,0.156
"['D2', 'C3']","['S6', 'C6', 'DA']",1100_32_2210_A6632,0.138
"['D2', 'C3']","['S6', 'C6', 'H6']",1100_32_2111_66632,0.168
"['D2', 'C3']","['S6', 'C6', 'D6']",1100_32_2210_66632,0.193
"['D2', 'C3']","['S6', 'CA', 'DA']",1100_32_2210_AA632,0.126
"['D2', 'C3']","['S6', 'D6', 'D3']",1100_32_3110_66332,0.55
"['D2', 'C3']","['S5', 'S4', 'DT']",1100_32_2210_T5432,0.237
"['D2', 'C3']","['S5', 'S4', 'HA']",1100_32_2111_A5432,0.249
"['D2', 'C3']","['S5', 'S4', 'H5']",1100_32_2111_55432,0.238
"['D2', 'C3']","['S5', 'S4', 'C5']",1100_32_2210_55432,0.258
"['D2', 'C3']","['S5', 'S4', 'C4']",1100_32_2210_54432,0.253
"['D2', 'C3']","['S5', 'S4', 'CA']",1100_32_2210_A5432,0.235
"['D2', 'C3']","['S5', 'S4', 'HT']",1100_32_2111_T5432,0.256
"['D2', 'C3']","['S5', 'S4', 'H4']",1100_32_2111_54432,0.244
"['D2', 'C3']","['S5', 'S4', 'ST']",1100_32_3110_T5432,0.208
"['D2', 'C3']","['S5', 'S4', 'SA']",1100_32_3110_A5432,0.208
"['D2', 'C3']","['S5', 'DT', 'HA']",1100_32_2111_AT532,0.119
"['D2', 'C3']","['S5', 'DT', 'H5']",1100_32_2111_T5532,0.134
"['D2', 'C3']","['S5', 'DT', 'C5']",1100_32_2210_T5532,0.177
"['D2', 'C3']","['S5', 'DT', 'CA']",1100_32_2210_AT532,0.144
"['D2', 'C3']","['S5', 'DT', 'HT']",1100_32_2111_TT532,0.134
"['D2', 'C3']","['S5', 'DT', 'DA']",1100_32_3110_AT532,0.14
"['D2', 'C3']","['S5', 'DT', 'CT']",1100_32_2210_TT532,0.153
"['D2', 'C3']","['S5', 'DT', 'D5']",1100_32_3110_T5532,0.165
"['D2', 'C3']","['S5', 'HA', 'H5']",1100_32_2111_A5532,0.142
"['D2', 'C3']","['S5', 'HA', 'CA']",1100_32_2111_AA532,0.171
"['D2', 'C3']","['S5', 'DQ', 'D5']",1100_32_3110_Q5532,0.181
"['D2', 'C3']","['S5', 'C9', 'C5']",1100_32_3110_95532,0.165
"['D2', 'C3']","['S5', 'C8', 'C5']",1100_32_3110_85532,0.164
"['D2', 'C3']","['S5', 'H5', 'C5']",1100_32_2111_55532,0.192
"['D2', 'C3']","['S5', 'C2', 'C5']",1100_32_3110_55322,0.569
"['D2', 'C3']","['S5', 'C7', 'C5']",1100_32_3110_75532,0.137
"['D2', 'C3']","['S5', 'C6', 'C5']",1100_32_3110_65532,0.244
"['D2', 'C3']","['S5', 'C5', 'C4']",1100_32_3110_55432,0.257
"['D2', 'C3']","['S5', 'C5', 'CA']",1100_32_3110_A5532,0.168
"['D2', 'C3']","['S5', 'C5', 'DA']",1100_32_2210_A5532,0.169
"['D2', 'C3']","['S5', 'C5', 'D5']",1100_32_2210_55532,0.178
"['D2', 'C3']","['S5', 'CA', 'DA']",1100_32_2210_AA532,0.161
"['D2', 'C3']","['S5', 'D5', 'D3']",1100_32_3110_55332,0.538
"['D2', 'C3']","['S4', 'DT', 'HA']",1100_32_2111_AT432,0.126
"['D2', 'C3']","['S4', 'DT', 'C4']",1100_32_2210_T4432,0.138
"['D2', 'C3']","['S4', 'DT', 'CA']",1100_32_2210_AT432,0.127
"['D2', 'C3']","['S4', 'DT', 'HT']",1100_32_2111_TT432,0.137
"['D2', 'C3']","['S4', 'DT', 'DA']",1100_32_3110_AT432,0.144
"['D2', 'C3']","['S4', 'DT', 'D4']",1100_32_3110_T4432,0.175
"['D2', 'C3']","['S4', 'DT', 'CT']",1100_32_2210_TT432,0.177
"['D2', 'C3']","['S4', 'DT', 'H4']",1100_32_2111_T4432,0.14
"['D2', 'C3']","['S4', 'HA', 'C4']",1100_32_2111_A4432,0.168
"['D2', 'C3']","['S4', 'HA', 'CA']",1100_32_2111_AA432,0.152
"['D2', 'C3']","['S4', 'DQ', 'D4']",1100_32_3110_Q4432,0.167
"['D2', 'C3']","['S4', 'C9', 'C4']",1100_32_3110_94432,0.179
"['D2', 'C3']","['S4', 'C8', 'C4']",1100_32_3110_84432,0.165
"['D2', 'C3']","['S4', 'C2', 'C4']",1100_32_3110_44322,0.563
"['D2', 'C3']","['S4', 'C7', 'C4']",1100_32_3110_74432,0.148
"['D2', 'C3']","['S4', 'C6', 'C4']",1100_32_3110_64432,0.281
"['D2', 'C3']","['S4', 'C5', 'C4']",1100_32_3110_54432,0.259
"['D2', 'C3']","['S4', 'C4', 'CA']",1100_32_3110_A4432,0.168
"['D2', 'C3']","['S4', 'C4', 'DA']",1100_32_2210_A4432,0.139
"['D2', 'C3']","['S4', 'C4', 'D4']",1100_32_2210_44432,0.174
"['D2', 'C3']","['S4', 'C4', 'H4']",1100_32_2111_44432,0.158
"['D2', 'C3']","['S4', 'CA', 'DA']",1100_32_2210_AA432,0.152
"['D2', 'C3']","['S4', 'D4', 'D3']",1100_32_3110_44332,0.535
