holeCards,commCards,Key,Value
"['D2', 'C2']",[],1100_22,0
"['D2', 'D3']",[],2000_32,0
"['D2', 'C3']",[],1100_32,0
"['D2', 'D4']",[],2000_42,0
"['D2', 'C4']",[],1100_42,0
"['D2', 'D5']",[],2000_52,0
"['D2', 'C5']",[],1100_52,0
"['D2', 'D6']",[],2000_62,0
"['D2', 'C6']",[],1100_62,0
"['D2', 'D7']",[],2000_72,0
"['D2', 'C7']",[],1100_72,0
"['D2', 'D8']",[],2000_82,0
"['D2', 'C8']",[],1100_82,0
"['D2', 'D9']",[],2000_92,0
"['D2', 'C9']",[],1100_92,0
"['D2', 'DT']",[],2000_T2,0
"['D2', 'CT']",[],1100_T2,0
"['D2', 'DJ']",[],2000_J2,0
"['D2', 'CJ']",[],1100_J2,0
"['D2', 'DQ']",[],2000_Q2,0
"['D2', 'CQ']",[],1100_Q2,0
"['D2', 'DK']",[],2000_K2,0
"['D2', 'CK']",[],1100_K2,0
"['D2', 'DA']",[],2000_A2,0
"['D2', 'CA']",[],1100_A2,0
"['D3', 'C3']",[],1100_33,0
"['D3', 'D4']",[],2000_43,0
"['D3', 'C4']",[],1100_43,0
"['D3', 'D5']",[],2000_53,0
"['D3', 'C5']",[],1100_53,0
"['D3', 'D6']",[],2000_63,0
"['D3', 'C6']",[],1100_63,0
"['D3', 'D7']",[],2000_73,0
"['D3', 'C7']",[],1100_73,0
"['D3', 'D8']",[],2000_83,0
"['D3', 'C8']",[],1100_83,0
"['D3', 'D9']",[],2000_93,0
"['D3', 'C9']",[],1100_93,0
"['D3', 'DT']",[],2000_T3,0
"['D3', 'CT']",[],1100_T3,0
"['D3', 'DJ']",[],2000_J3,0
"['D3', 'CJ']",[],1100_J3,0
"['D3', 'DQ']",[],2000_Q3,0
"['D3', 'CQ']",[],1100_Q3,0
"['D3', 'DK']",[],2000_K3,0
"['D3', 'CK']",[],1100_K3,0
"['D3', 'DA']",[],2000_A3,0
"['D3', 'CA']",[],1100_A3,0
"['D4', 'C4']",[],1100_44,0
"['D4', 'D5']",[],2000_54,0
"['D4', 'C5']",[],1100_54,0
"['D4', 'D6']",[],2000_64,0
"['D4', 'C6']",[],1100_64,0
"['D4', 'D7']",[],2000_74,0
"['D4', 'C7']",[],1100_74,0
"['D4', 'D8']",[],2000_84,0
"['D4', 'C8']",[],1100_84,0
"['D4', 'D9']",[],2000_94,0
"['D4', 'C9']",[],1100_94,0
"['D4', 'DT']",[],2000_T4,0
"['D4', 'CT']",[],1100_T4,0
"['D4', 'DJ']",[],2000_J4,0
"['D4', 'CJ']",[],1100_J4,0
"['D4', 'DQ']",[],2000_Q4,0
"['D4', 'CQ']",[],1100_Q4,0
"['D4', 'DK']",[],2000_K4,0
"['D4', 'CK']",[],1100_K4,0
"['D4', 'DA']",[],2000_A4,0
"['D4', 'CA']",[],1100_A4,0
"['D5', 'C5']",[],1100_55,0
"['D5', 'D6']",[],2000_65,0
"['D5', 'C6']",[],1100_65,0
"['D5', 'D7']",[],2000_75,0
"['D5', 'C7']",[],1100_75,0
"['D5', 'D8']",[],2000_85,0
"['D5', 'C8']",[],1100_85,0
"['D5', 'D9']",[],2000_95,0
"['D5', 'C9']",[],1100_95,0
"['D5', 'DT']",[],2000_T5,0
"['D5', 'CT']",[],1100_T5,0
"['D5', 'DJ']",[],2000_J5,0
"['D5', 'CJ']",[],1100_J5,0
"['D5', 'DQ']",[],2000_Q5,0
"['D5', 'CQ']",[],1100_Q5,0
"['D5', 'DK']",[],2000_K5,0
"['D5', 'CK']",[],1100_K5,0
"['D5', 'DA']",[],2000_A5,0
"['D5', 'CA']",[],1100_A5,0
"['D6', 'C6']",[],1100_66,0
"['D6', 'D7']",[],2000_76,0
"['D6', 'C7']",[],1100_76,0
"['D6', 'D8']",[],2000_86,0
"['D6', 'C8']",[],1100_86,0
"['D6', 'D9']",[],2000_96,0
"['D6', 'C9']",[],1100_96,0
"['D6', 'DT']",[],2000_T6,0
"['D6', 'CT']",[],1100_T6,0
"['D6', 'DJ']",[],2000_J6,0
"['D6', 'CJ']",[],1100_J6,0
"['D6', 'DQ']",[],2000_Q6,0
"['D6', 'CQ']",[],1100_Q6,0
"['D6', 'DK']",[],2000_K6,0
"['D6', 'CK']",[],1100_K6,0
"['D6', 'DA']",[],2000_A6,0
"['D6', 'CA']",[],1100_A6,0
"['D7', 'C7']",[],1100_77,0
"['D7', 'D8']",[],2000_87,0
"['D7', 'C8']",[],1100_87,0
"['D7', 'D9']",[],2000_97,0
"['D7', 'C9']",[],1100_97,0
"['D7', 'DT']",[],2000_T7,0
"['D7', 'CT']",[],1100_T7,0
"['D7', 'DJ']",[],2000_J7,0
"['D7', 'CJ']",[],1100_J7,0
"['D7', 'DQ']",[],2000_Q7,0
"['D7', 'CQ']",[],1100_Q7,0
"['D7', 'DK']",[],2000_K7,0
"['D7', 'CK']",[],1100_K7,0
"['D7', 'DA']",[],2000_A7,0
"['D7', 'CA']",[],1100_A7,0
"['D8', 'C8']",[],1100_88,0
"['D8', 'D9']",[],2000_98,0
"['D8', 'C9']",[],1100_98,0
"['D8', 'DT']",[],2000_T8,0
"['D8', 'CT']",[],1100_T8,0
"['D8', 'DJ']",[],2000_J8,0
"['D8', 'CJ']",[],1100_J8,0
"['D8', 'DQ']",[],2000_Q8,0
"['D8', 'CQ']",[],1100_Q8,0
"['D8', 'DK']",[],2000_K8,0
"['D8', 'CK']",[],1100_K8,0
"['D8', 'DA']",[],2000_A8,0
"['D8', 'CA']",[],1100_A8,0
"['D9', 'C9']",[],1100_99,0
"['D9', 'DT']",[],2000_T9,0
"['D9', 'CT']",[],1100_T9,0
"['D9', 'DJ']",[],2000_J9,0
"['D9', 'CJ']",[],1100_J9,0
"['D9', 'DQ']",[],2000_Q9,0
"['D9', 'CQ']",[],1100_Q9,0
"['D9', 'DK']",[],2000_K9,0
"['D9', 'CK']",[],1100_K9,0
"['D9', 'DA']",[],2000_A9,0
"['D9', 'CA']",[],1100_A9,0
"['DT', 'CT']",[],1100_TT,0
"['DT', 'DJ']",[],2000_JT,0
"['DT', 'CJ']",[],1100_JT,0
"['DT', 'DQ']",[],2000_QT,0
"['DT', 'CQ']",[],1100_QT,0
"['DT', 'DK']",[],2000_KT,0
"['DT', 'CK']",[],1100_KT,0
"['DT', 'DA']",[],2000_AT,0
"['DT', 'CA']",[],1100_AT,0
"['DJ', 'CJ']",[],1100_JJ,0
"['DJ', 'DQ']",[],2000_QJ,0
"['DJ', 'CQ']",[],1100_QJ,0
"['DJ', 'DK']",[],2000_KJ,0
"['DJ', 'CK']",[],1100_KJ,0
"['DJ', 'DA']",[],2000_AJ,0
"['DJ', 'CA']",[],1100_AJ,0
"['DQ', 'CQ']",[],1100_QQ,0
"['DQ', 'DK']",[],2000_KQ,0
"['DQ', 'CK']",[],1100_KQ,0
"['DQ', 'DA']",[],2000_AQ,0
"['DQ', 'CA']",[],1100_AQ,0
"['DK', 'CK']",[],1100_KK,0
"['DK', 'DA']",[],2000_AK,0
"['DK', 'CA']",[],1100_AK,0
"['DA', 'CA']",[],1100_AA,0
